Fecha,Fecha_scrap,Strike,Vol_call,Vol_put
2024-05-17,2024-05-03,11550.0,0.1683593093938158,
2024-05-17,2024-05-03,11600.0,0.1782055046932501,
2024-05-17,2024-05-03,11650.0,0.1879206847469374,
2024-05-17,2024-05-03,11700.0,0.1975130923304082,
2024-05-17,2024-05-03,11750.0,0.2069898849510758,
2024-05-17,2024-05-03,11800.0,0.2163573367276448,
2024-05-17,2024-05-03,11850.0,0.2256209935962764,
2024-05-17,2024-05-03,11900.0,0.2347857944934535,
2024-05-17,2024-05-03,12000.0,0.2528361056284724,
2024-05-17,2024-05-03,12100.0,0.2705388451439656,
2024-05-17,2024-05-03,12200.0,0.287919381924489,
2024-05-17,2024-05-03,12300.0,0.3049991401853659,
2024-05-17,2024-05-03,12400.0,0.3217964845380753,
2024-05-17,2024-05-03,12500.0,0.3383273586637238,
2024-05-17,2024-05-03,12600.0,0.3546057573950623,
2024-05-17,2024-05-03,12700.0,0.3706440829930132,
2024-05-24,2024-05-03,9300.0,0.3484030075199729,0.3124888125511702
2024-05-24,2024-05-03,9400.0,0.3339024919617893,0.2939995710414484
2024-05-24,2024-05-03,9500.0,0.2827350096465976,0.2755787602636128
2024-05-24,2024-05-03,9600.0,0.2708231470675962,0.2572121727555568
2024-05-24,2024-05-03,9700.0,0.2576647954042683,0.238883761675079
2024-05-24,2024-05-03,9800.0,0.2434448625874762,0.2087554159049964
2024-05-24,2024-05-03,9900.0,0.2282827571898534,0.1988431983044383
2024-05-24,2024-05-03,10000.0,0.2160818564779213,0.1924560488530281
2024-05-24,2024-05-03,10100.0,0.2082872765053359,0.1824484094125108
2024-05-24,2024-05-03,10150.0,0.2109315772106786,0.1801281719316855
2024-05-24,2024-05-03,10200.0,0.2043155304421835,0.1780065152229968
2024-05-24,2024-05-03,10250.0,0.1971004057356076,0.1730658876375421
2024-05-24,2024-05-03,10300.0,0.1933198045450187,0.1696855224805366
2024-05-24,2024-05-03,10350.0,0.1865629167862608,0.165023551929586
2024-05-24,2024-05-03,10400.0,0.1840547482960528,0.1650029183270101
2024-05-24,2024-05-03,10450.0,0.1785243754325869,0.1611692414362391
2024-05-24,2024-05-03,10500.0,,0.1604378229535512
2024-05-24,2024-05-03,10550.0,0.1681051448045927,0.1535417795765406
2024-05-24,2024-05-03,10600.0,0.1639721747184172,0.1518076470386408
2024-05-24,2024-05-03,10650.0,0.1604744821080769,0.1480114562663327
2024-05-24,2024-05-03,10700.0,,0.1477473063901074
2024-05-24,2024-05-03,10750.0,,0.144056945846374
2024-05-24,2024-05-03,10800.0,,0.1411424210639428
2024-05-24,2024-05-03,10850.0,0.1424785053088847,
2024-05-24,2024-05-03,10900.0,0.1422598279333983,0.1336966817600987
2024-05-24,2024-05-03,10950.0,0.1413839628822986,0.1297399418832604
2024-05-24,2024-05-03,11000.0,0.1388239275336907,
2024-05-24,2024-05-03,11050.0,0.1375691852307044,0.1235986630169795
2024-05-24,2024-05-03,11100.0,0.1368120520681154,0.1215933704773373
2024-05-24,2024-05-03,11150.0,0.1343429086843231,0.1185498516529772
2024-05-24,2024-05-03,11200.0,0.1326532917605131,0.1142505683463094
2024-05-24,2024-05-03,11250.0,0.1340928981228698,0.1124860694382391
2024-05-24,2024-05-03,11300.0,0.1310608864719982,0.0992774340357687
2024-05-24,2024-05-03,11350.0,0.1307099199366332,0.0619044257492437
2024-05-24,2024-05-03,11400.0,0.1313659928671023,
2024-05-24,2024-05-03,11450.0,0.1309524606611466,
2024-05-24,2024-05-03,11500.0,0.1315906366940029,
2024-05-24,2024-05-03,11550.0,0.129327266054815,
